EmployeeID,Department,JobRole,Age,Gender,Education,MaritalStatus,YearsExperience,YearsAtCompany,MonthlySalary,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,PromotionLast5Years,TrainingTimesLastYear,Attrition,TenureBucket,Attrition_Flag,OverTime_Flag
EMP01203,Support,Support Lead,28.0,Female,Bachelor's,Married,8,2,61373.67,16.7,No,1.0,4.0,3,0,0,Yes,2-3 yrs,1,0
EMP00404,Sales,Account Manager,36.0,Male,Bachelor's,Married,7,4,66020.16,18.0,No,3.0,2.0,3,0,2,No,4-6 yrs,0,0
EMP01383,Support,Support Executive,30.0,Female,Bachelor's,Single,5,2,52401.08,6.2,No,4.0,1.0,3,1,2,Yes,2-3 yrs,1,0
EMP00601,Engineering,QA Engineer,43.0,Male,Bachelor's,Divorced,25,1,115761.64,4.6,No,4.0,1.0,3,0,2,No,0-1 yrs,0,0
EMP01128,Engineering,Engineering Manager,38.0,Female,Bachelor's,Married,16,8,96825.25,8.6,No,2.0,1.0,3,0,5,No,7-10 yrs,0,0
EMP01293,Engineering,Engineering Manager,40.0,Female,Bachelor's,Married,14,1,98940.93,9.1,Yes,4.0,1.0,3,1,4,No,0-1 yrs,0,1
EMP01490,Engineering,Engineering Manager,21.0,Female,High School,Married,0,0,60917.83,6.4,No,2.0,2.0,2,1,4,No,0-1 yrs,0,0
EMP00658,Hr,Recruiter,44.0,Male,Bachelor's,Married,20,5,83097.95,6.0,Yes,3.0,3.0,3,1,1,No,4-6 yrs,0,1
EMP00535,Support,Support Lead,30.0,Female,Bachelor's,Married,11,5,70694.36,10.6,Yes,3.0,2.0,4,0,4,No,4-6 yrs,0,1
EMP00876,Engineering,QA Engineer,24.0,Female,Master's,Divorced,1,0,90710.22,2.6,Yes,1.0,1.0,3,0,5,No,0-1 yrs,0,1
EMP00448,Sales,Sales Manager,39.0,Female,Bachelor's,Single,21,1,91400.12,43.9,No,4.0,3.0,2,1,1,No,0-1 yrs,0,0
EMP00261,Finance,Finance Manager,24.0,Female,Master's,Single,3,2,80863.04,24.0,No,2.0,2.0,4,0,1,No,2-3 yrs,0,0
EMP00629,Engineering,Senior Engineer,33.0,Male,Bachelor's,Married,11,0,89615.37,5.1,No,4.0,4.0,3,0,5,No,0-1 yrs,0,0
EMP01055,Sales,Sales Executive,29.0,Male,Master's,Single,11,5,82263.84,3.0,Yes,4.0,3.0,1,0,5,No,4-6 yrs,0,1
EMP01017,Support,Support Executive,40.0,Female,Bachelor's,Married,8,2,59809.0,2.7,No,1.0,2.0,4,0,5,Yes,2-3 yrs,1,0
EMP01404,Marketing,Marketing Executive,29.0,Male,Bachelor's,Divorced,8,1,63503.46,22.4,Yes,1.0,1.0,3,0,4,Yes,0-1 yrs,1,1
EMP00682,Marketing,Content Specialist,34.0,Female,Bachelor's,Married,8,2,71821.96,2.9,No,2.0,4.0,3,0,4,No,2-3 yrs,0,0
EMP00731,Support,Support Executive,44.0,Female,High School,Married,21,1,69845.49,13.5,Yes,3.0,2.0,3,1,2,No,0-1 yrs,0,1
EMP01344,Support,Support Executive,39.0,Male,Bachelor's,Divorced,21,8,93871.22,16.8,Yes,4.0,2.0,3,0,0,No,7-10 yrs,0,1
EMP00192,Sales,Account Manager,33.0,Male,Bachelor's,Married,15,1,74220.63,5.3,Yes,4.0,4.0,3,1,5,Yes,0-1 yrs,1,1
EMP00563,Hr,HR Manager,36.0,Female,Bachelor's,Single,11,1,71129.39,3.3,No,4.0,2.0,3,0,4,No,0-1 yrs,0,0
EMP00769,Engineering,Engineering Manager,37.0,Male,Bachelor's,Divorced,18,14,104120.15,1.1,No,2.0,3.0,3,1,4,No,10+ yrs,0,0
EMP01109,Hr,HR Manager,39.0,Male,Master's,Single,19,3,90431.62,2.8,Yes,2.0,4.0,3,0,1,No,2-3 yrs,0,1
EMP00560,Marketing,Marketing Manager,27.0,Female,Master's,Divorced,0,0,62909.06,3.2,No,4.0,1.0,3,1,3,Yes,0-1 yrs,1,0
EMP01254,Engineering,QA Engineer,45.0,Male,Bachelor's,Single,27,0,111799.61,8.5,No,3.0,3.0,3,0,1,No,0-1 yrs,0,0
EMP01409,Hr,Recruiter,41.0,Male,Master's,Married,14,1,77767.28,22.5,No,3.0,3.0,2,1,5,No,0-1 yrs,0,0
EMP00432,Engineering,Senior Engineer,34.0,Male,Bachelor's,Married,11,4,93819.31,16.2,No,1.0,3.0,2,0,0,No,4-6 yrs,0,0
EMP00787,Sales,Sales Manager,42.0,Female,High School,Married,10,3,72034.37,9.1,No,2.0,1.0,3,0,0,No,2-3 yrs,0,0
EMP01420,Sales,Sales Executive,21.0,Male,Bachelor's,Single,1,1,49902.49,15.2,No,4.0,1.0,4,0,3,No,0-1 yrs,0,0
EMP00531,Marketing,Marketing Manager,44.0,Male,Bachelor's,Married,23,7,90771.83,17.1,Yes,1.0,3.0,4,0,2,No,7-10 yrs,0,1
EMP00274,Sales,Account Manager,29.0,Female,Bachelor's,Divorced,3,1,45907.94,5.2,No,2.0,2.0,3,0,1,No,0-1 yrs,0,0
EMP01019,Engineering,Senior Engineer,41.0,Female,Master's,Married,15,4,116683.84,6.0,Yes,1.0,3.0,3,1,1,No,4-6 yrs,0,1
EMP01136,Engineering,Engineering Manager,32.0,Female,Master's,Divorced,11,2,106902.86,4.5,No,4.0,2.0,3,1,4,No,2-3 yrs,0,0
EMP00904,Hr,Recruiter,42.0,Male,Bachelor's,Divorced,19,2,78808.92,6.7,No,4.0,3.0,2,0,5,No,2-3 yrs,0,0
EMP01296,Engineering,QA Engineer,37.0,Female,Bachelor's,Single,16,1,111442.58,1.3,Yes,3.0,3.0,3,0,3,No,0-1 yrs,0,1
EMP00675,Engineering,QA Engineer,33.0,Female,Master's,Married,14,3,115034.62,1.9,Yes,3.0,1.0,4,0,3,Yes,2-3 yrs,1,1
EMP00044,Engineering,Software Engineer,30.0,Female,Bachelor's,Single,12,9,95907.76,3.5,No,3.0,2.0,3,0,2,No,7-10 yrs,0,0
EMP00618,Engineering,Software Engineer,27.0,Female,Bachelor's,Married,1,0,74973.06,16.0,Yes,2.0,1.0,3,1,1,No,0-1 yrs,0,1
EMP00301,Marketing,Content Specialist,35.0,Male,High School,Married,11,3,69773.95,5.7,No,2.0,2.0,4,0,1,Yes,2-3 yrs,1,0
EMP01445,Sales,Account Manager,26.0,Female,Bachelor's,Single,7,1,70793.82,4.9,Yes,3.0,3.0,1,0,5,Yes,0-1 yrs,1,1
EMP01468,Finance,Accountant,29.0,Male,High School,Divorced,0,0,58545.34,3.0,No,4.0,3.0,3,0,3,No,0-1 yrs,0,0
EMP00305,Support,Support Lead,26.0,Female,Master's,Single,5,1,63322.79,13.4,Yes,3.0,3.0,4,0,4,Yes,0-1 yrs,1,1
EMP00033,Engineering,QA Engineer,32.0,Male,Bachelor's,Married,12,9,90728.66,15.2,No,1.0,2.0,4,0,0,No,7-10 yrs,0,0
EMP01127,Sales,Sales Manager,48.0,Female,Master's,Single,25,0,111953.44,2.9,Yes,4.0,3.0,3,0,0,No,0-1 yrs,0,1
EMP00142,Engineering,Engineering Manager,26.0,Female,Master's,Married,4,2,94084.36,0.9,No,4.0,4.0,3,1,1,No,2-3 yrs,0,0
EMP00397,Engineering,Software Engineer,28.0,Female,Bachelor's,Single,6,4,89801.94,13.4,No,2.0,4.0,4,1,2,Yes,4-6 yrs,1,0
EMP00995,Support,Support Lead,35.0,Male,Bachelor's,Married,16,7,70488.88,18.8,No,2.0,3.0,4,0,5,No,7-10 yrs,0,0
EMP01151,Marketing,Marketing Manager,27.0,Male,Bachelor's,Single,4,2,57128.59,18.6,No,3.0,1.0,3,0,4,No,2-3 yrs,0,0
EMP00202,Engineering,Software Engineer,36.0,Female,Master's,Single,15,8,116298.51,15.7,No,2.0,3.0,3,0,4,Yes,7-10 yrs,1,0
EMP01238,Engineering,Software Engineer,28.0,Female,Bachelor's,Divorced,5,5,80461.85,22.6,No,3.0,4.0,3,0,3,No,4-6 yrs,0,0
EMP00908,Hr,HR Executive,44.0,Female,Master's,Divorced,18,0,95309.28,7.3,No,3.0,4.0,4,0,1,No,0-1 yrs,0,0
EMP01289,Sales,Account Manager,58.0,Male,Master's,Single,36,1,124290.03,3.8,No,2.0,3.0,4,0,1,Yes,0-1 yrs,1,0
EMP00337,Sales,Account Manager,36.0,Male,PhD,Single,6,4,75031.5,0.2,No,1.0,4.0,3,0,4,No,4-6 yrs,0,0
EMP00907,Sales,Sales Manager,28.0,Female,Bachelor's,Divorced,7,0,61460.45,7.1,No,2.0,4.0,4,1,2,Yes,0-1 yrs,1,0
EMP01267,Marketing,Marketing Manager,30.0,Male,PhD,Single,12,1,101847.05,5.1,Yes,4.0,1.0,3,0,5,Yes,0-1 yrs,1,1
EMP00225,Hr,Recruiter,37.0,Male,Bachelor's,Single,15,4,70732.33,1.7,No,1.0,3.0,2,0,1,Yes,4-6 yrs,1,0
EMP01370,Marketing,Marketing Manager,21.0,Female,Bachelor's,Single,0,0,56926.47,1.1,No,1.0,2.0,1,0,4,No,0-1 yrs,0,0
EMP01294,Marketing,Marketing Manager,43.0,Male,Master's,Married,20,4,92336.55,8.1,No,1.0,3.0,4,0,3,No,4-6 yrs,0,0
EMP01402,Hr,HR Executive,39.0,Female,Bachelor's,Married,15,1,73407.24,2.9,No,1.0,1.0,3,1,5,Yes,0-1 yrs,1,0
EMP00387,Finance,Finance Manager,30.0,Male,Master's,Divorced,4,4,82643.7,0.6,No,1.0,2.0,3,0,4,Yes,4-6 yrs,1,0
EMP01204,Hr,HR Executive,39.0,Male,Bachelor's,Divorced,21,4,85901.14,5.2,No,2.0,1.0,3,1,2,No,4-6 yrs,0,0
EMP00543,Engineering,Senior Engineer,21.0,Female,Master's,Divorced,0,0,81287.36,13.8,No,2.0,1.0,4,1,4,Yes,0-1 yrs,1,0
EMP01007,Marketing,Marketing Executive,42.0,Female,Master's,Married,17,0,94039.59,2.8,No,1.0,2.0,1,0,3,No,0-1 yrs,0,0
EMP01082,Finance,Accountant,39.0,Female,Bachelor's,Single,21,0,101379.78,5.0,Yes,4.0,1.0,2,0,5,Yes,0-1 yrs,1,1
EMP00288,Engineering,Engineering Manager,23.0,Male,Bachelor's,Married,0,0,74220.49,0.8,No,1.0,1.0,3,0,2,No,0-1 yrs,0,0
EMP00481,Support,Support Executive,26.0,Male,Bachelor's,Married,6,3,61216.51,8.6,No,3.0,2.0,2,1,2,No,2-3 yrs,0,0
EMP00503,Sales,Sales Executive,28.0,Male,Bachelor's,Divorced,5,1,65968.76,1.0,No,2.0,3.0,3,1,4,Yes,0-1 yrs,1,0
EMP00936,Sales,Sales Executive,29.0,Female,Master's,Divorced,8,3,85129.75,19.6,No,1.0,2.0,3,0,0,No,2-3 yrs,0,0
EMP01438,Engineering,Software Engineer,22.0,Male,PhD,Single,0,0,97444.58,0.6,Yes,1.0,1.0,4,0,1,Yes,0-1 yrs,1,1
EMP00672,Support,Support Executive,31.0,Male,Master's,Married,9,0,68084.49,0.9,No,1.0,4.0,3,1,2,Yes,0-1 yrs,1,0
EMP01259,Hr,HR Executive,30.0,Male,High School,Divorced,3,3,47432.27,4.0,Yes,2.0,1.0,3,0,0,Yes,2-3 yrs,1,1
EMP01433,Finance,Financial Analyst,38.0,Female,Bachelor's,Married,14,3,96347.78,2.2,Yes,1.0,4.0,4,1,3,No,2-3 yrs,0,1
EMP01245,Marketing,Marketing Manager,46.0,Male,High School,Married,23,3,92498.58,0.9,Yes,4.0,2.0,4,1,4,No,2-3 yrs,0,1
EMP01241,Engineering,QA Engineer,39.0,Female,High School,Married,15,1,90304.68,2.6,No,4.0,4.0,3,1,5,Yes,0-1 yrs,1,0
EMP01274,Engineering,Engineering Manager,22.0,Female,Bachelor's,Married,0,0,75157.86,4.2,Yes,4.0,4.0,4,0,2,Yes,0-1 yrs,1,1
EMP00759,Finance,Finance Manager,38.0,Female,Master's,Divorced,13,0,97115.07,16.0,Yes,2.0,1.0,4,0,3,No,0-1 yrs,0,1
EMP00570,Sales,Sales Manager,31.0,Female,Master's,Single,8,6,80010.92,1.1,Yes,3.0,3.0,3,0,4,Yes,4-6 yrs,1,1
EMP00770,Sales,Sales Manager,39.0,Male,High School,Single,16,2,77228.57,0.8,No,4.0,3.0,2,0,0,No,2-3 yrs,0,0
EMP00015,Engineering,QA Engineer,28.0,Female,Bachelor's,Divorced,7,1,89891.97,1.6,No,1.0,3.0,4,0,0,Yes,0-1 yrs,1,0
EMP00127,Sales,Sales Manager,42.0,Male,Bachelor's,Married,23,7,87947.26,4.0,No,2.0,1.0,3,0,2,Yes,7-10 yrs,1,0
EMP00625,Sales,Sales Executive,34.0,Male,Master's,Married,12,6,76232.19,2.5,No,2.0,4.0,4,1,0,No,4-6 yrs,0,0
EMP00173,Engineering,QA Engineer,45.0,Male,Bachelor's,Married,22,4,113964.93,4.7,No,3.0,4.0,3,0,4,No,4-6 yrs,0,0
EMP01074,Support,Support Lead,41.0,Male,Bachelor's,Married,21,4,83867.62,4.7,No,3.0,2.0,4,1,1,No,4-6 yrs,0,0
EMP00989,Marketing,Marketing Executive,33.0,Male,Master's,Single,10,4,84565.33,3.5,Yes,3.0,2.0,4,0,3,No,4-6 yrs,0,1
EMP01142,Engineering,Software Engineer,31.0,Female,Bachelor's,Single,7,1,81160.23,19.6,No,4.0,4.0,4,0,5,No,0-1 yrs,0,0
EMP00999,Support,Support Executive,27.0,Female,Master's,Married,2,2,60176.89,4.7,No,3.0,4.0,3,1,4,No,2-3 yrs,0,0
EMP01255,Sales,Account Manager,31.0,Male,Bachelor's,Single,2,1,50170.97,7.0,No,3.0,1.0,1,0,4,No,0-1 yrs,0,0
EMP01368,Engineering,Engineering Manager,21.0,Male,High School,Divorced,0,0,62003.58,4.2,No,4.0,3.0,3,0,5,Yes,0-1 yrs,1,0
EMP01231,Marketing,Marketing Manager,27.0,Male,PhD,Divorced,9,2,82940.22,1.1,No,4.0,4.0,1,1,2,Yes,2-3 yrs,1,0
EMP00516,Support,Support Executive,37.0,Female,Master's,Divorced,14,8,86288.6,0.7,Yes,1.0,2.0,3,0,0,Yes,7-10 yrs,1,1
EMP00959,Sales,Sales Executive,41.0,Male,Master's,Single,23,1,106963.92,0.7,No,1.0,4.0,3,0,2,No,0-1 yrs,0,0
EMP01236,Engineering,Engineering Manager,39.0,Female,Bachelor's,Married,19,1,98117.03,7.9,Yes,3.0,1.0,3,0,3,No,0-1 yrs,0,1
EMP01450,Hr,HR Manager,38.0,Female,Master's,Divorced,10,3,71970.48,1.1,No,2.0,2.0,3,0,1,Yes,2-3 yrs,1,0
EMP01011,Support,Support Lead,32.0,Male,Bachelor's,Married,4,0,45719.1,10.6,No,4.0,3.0,4,0,5,No,0-1 yrs,0,0
EMP01362,Sales,Account Manager,41.0,Male,High School,Single,15,15,64564.31,25.6,Yes,3.0,3.0,4,0,5,No,10+ yrs,0,1
EMP01408,Sales,Sales Executive,40.0,Female,Master's,Single,15,0,81714.78,1.4,No,2.0,4.0,3,1,4,No,0-1 yrs,0,0
EMP00161,Marketing,Marketing Manager,31.0,Male,Bachelor's,Single,13,2,75085.88,38.6,No,1.0,4.0,3,0,0,Yes,2-3 yrs,1,0
EMP00132,Support,Support Lead,32.0,Male,Master's,Married,8,3,83596.3,1.0,No,2.0,4.0,3,0,1,No,2-3 yrs,0,0
EMP01051,Support,Support Lead,21.0,Female,Master's,Divorced,0,0,60435.51,7.3,No,2.0,4.0,2,0,5,No,0-1 yrs,0,0
EMP01424,Marketing,Content Specialist,37.0,Male,Bachelor's,Single,15,4,93278.47,0.7,No,1.0,4.0,2,1,3,No,4-6 yrs,0,0
EMP00829,Sales,Sales Manager,45.0,Male,Master's,Married,22,8,100931.29,3.6,Yes,1.0,2.0,3,1,1,No,7-10 yrs,0,1
EMP00819,Engineering,Software Engineer,44.0,Female,Bachelor's,Divorced,23,0,122108.88,19.3,Yes,1.0,2.0,3,0,1,Yes,0-1 yrs,1,1
EMP00524,Finance,Accountant,26.0,Male,Master's,Married,2,2,84853.86,16.9,Yes,1.0,2.0,3,0,4,Yes,2-3 yrs,1,1
EMP00063,Sales,Sales Manager,40.0,Female,Bachelor's,Divorced,18,5,87983.82,13.0,No,2.0,1.0,3,0,3,No,4-6 yrs,0,0
EMP00948,Engineering,Senior Engineer,32.0,Female,Bachelor's,Single,6,6,88035.15,4.4,Yes,2.0,1.0,3,0,5,Yes,4-6 yrs,1,1
EMP00963,Finance,Accountant,31.0,Female,Master's,Single,11,7,98700.78,2.7,No,3.0,4.0,3,0,3,No,7-10 yrs,0,0
EMP00719,Finance,Financial Analyst,47.0,Male,Master's,Divorced,19,6,83596.3,1.8,No,4.0,2.0,3,0,0,No,4-6 yrs,0,0
EMP00836,Sales,Sales Manager,47.0,Female,Bachelor's,Single,22,6,83596.3,0.9,No,2.0,1.0,3,1,3,No,4-6 yrs,0,0
EMP00045,Support,Support Lead,47.0,Male,Bachelor's,Single,22,3,75203.83,11.7,No,2.0,4.0,4,1,3,No,2-3 yrs,0,0
EMP00413,Sales,Sales Executive,32.0,Male,Master's,Married,13,0,89656.76,3.0,No,1.0,3.0,3,0,2,No,0-1 yrs,0,0
EMP00848,Marketing,Marketing Manager,41.0,Male,Bachelor's,Single,14,3,83596.3,3.9,Yes,4.0,4.0,3,0,2,No,2-3 yrs,0,1
EMP00183,Support,Support Lead,28.0,Female,High School,Single,8,0,59218.23,21.7,No,3.0,3.0,3,0,2,No,0-1 yrs,0,0
EMP00620,Marketing,Marketing Executive,48.0,Female,Bachelor's,Divorced,28,3,100369.9,20.9,No,3.0,3.0,3,0,2,No,2-3 yrs,0,0
EMP01043,Marketing,Marketing Executive,41.0,Female,Bachelor's,Divorced,13,6,77120.91,3.6,No,4.0,3.0,4,0,4,Yes,4-6 yrs,1,0
EMP00029,Support,Support Executive,40.0,Male,Master's,Divorced,22,0,97550.39,3.0,No,1.0,4.0,3,0,5,No,0-1 yrs,0,0
